  ilv   flv            5K           10K           20K           30K           50K           80K          100K          150K          200K          300K
   16     1    6.7090E-13    7.3878E-13    7.8643E-13    8.1466E-13    8.5005E-13    8.6770E-13    8.6918E-13    8.6319E-13    8.5551E-13    8.4457E-13
   16     2    2.9338E-12    2.7144E-12    2.1959E-12    1.8727E-12    1.5282E-12    1.3107E-12    1.2512E-12    1.2355E-12    1.3153E-12    1.6114E-12
   16     3    3.4228E-12    3.2007E-12    2.7512E-12    2.5655E-12    2.4986E-12    2.5932E-12    2.6830E-12    2.9040E-12    3.0876E-12    3.3371E-12
   16     4    8.3500E-13    6.8808E-13    4.7531E-13    3.7908E-13    3.0667E-13    2.9478E-13    3.0971E-13    3.7032E-13    4.3443E-13    5.3905E-13
   16     5    1.3551E-12    1.2918E-12    1.0470E-12    9.2001E-13    8.5972E-13    9.4475E-13    1.0356E-12    1.2753E-12    1.4965E-12    1.8765E-12
   16     6    1.9138E-12    1.6669E-12    1.2135E-12    1.0394E-12    9.6786E-13    1.0196E-12    1.0738E-12    1.2164E-12    1.3540E-12    1.6039E-12
   16     7    1.1278E-12    1.0048E-12    7.3252E-13    6.0456E-13    5.1465E-13    5.1096E-13    5.3760E-13    6.3072E-13    7.2449E-13    8.7457E-13
   16     8    6.0438E-12    8.8561E-12    1.1576E-11    1.3141E-11    1.5264E-11    1.7368E-11    1.8414E-11    2.0430E-11    2.2005E-11    2.4504E-11
   16     9    2.1943E-12    1.6205E-12    1.0088E-12    7.5539E-13    5.7805E-13    5.3798E-13    5.5209E-13    6.1801E-13    6.8660E-13    7.9787E-13
   16    10    3.8373E-12    3.1020E-12    2.4129E-12    2.1770E-12    2.1179E-12    2.2705E-12    2.3973E-12    2.6938E-12    2.9416E-12    3.3171E-12
   16    11    9.0131E-12    7.8307E-12    6.7522E-12    6.4927E-12    6.6601E-12    7.1562E-12    7.4478E-12    7.9983E-12    8.3814E-12    8.8967E-12
